id_producto;sku;nombre;marca;id_padre;padre_nombre;id_categoria_actual;cat_actual;palabra_raiz_detectada;subcategoria_sugerida;decision_subcategoria
5202;H5H;HIDROFUGO 04 KG /HORNERO;HORNERO;11981;HIDROFUGO (HORNERO);18;CORRALON;HIDROFUGO;HIDROFUGOS;IMPERMEABILIZACIÓN
5177;H10H;HIDROFUGO 10 KG /HORNERO;HORNERO;11981;HIDROFUGO (HORNERO);18;CORRALON;HIDROFUGO;HIDROFUGOS;IMPERMEABILIZACIÓN
5195;H24H;HIDROFUGO 22 KG /HORNERO;HORNERO;11981;HIDROFUGO (HORNERO);18;CORRALON;HIDROFUGO;HIDROFUGOS;IMPERMEABILIZACIÓN
6754;MAP30H;MEZCLA ADHESIVA- 25KG /HORNERO;HORNERO;11982;MEZCLA ADHESIVA (HORNERO);18;CORRALON;MEZCLA;MEZCLAS;AGLOMERANTES
6743;MA30H;MEZCLA ADHESIVA- BORGOÑA 25KG /HORNERO;HORNERO;11982;MEZCLA ADHESIVA (HORNERO);18;CORRALON;MEZCLA;MEZCLAS;AGLOMERANTES
1669;C70D;CARRETILLA   070LT    /DUROLL /;DUROLL;12032;CARRETILLA RUEDA MACISA;170;CARRETILLAS Y HORMIGONERAS;CARRETILLA;CARRETILLAS;HERRAMIENTAS
1329;C100D;CARRETILLA  100LT RUEDA MACIZA   /DUROLL /;DUROLL;12032;CARRETILLA RUEDA MACISA;170;CARRETILLAS Y HORMIGONERAS;CARRETILLA;CARRETILLAS;HERRAMIENTAS
1331;C100ND;CARRETILLA  100LT RUEDA NEUMATICA   /DUROLL /;DUROLL;12033;CARRETILLA RUEDA NEUMATICA;170;CARRETILLAS Y HORMIGONERAS;CARRETILLA;CARRETILLAS;HERRAMIENTAS
5186;H130D;HORMIGONERA--  130 LT. 3/4 HP.                 /DUROLL /;DUROLL;12034;HORMIGONERA DUROLL;170;CARRETILLAS Y HORMIGONERAS;HORMIGONERA;HORMIGONERAS;HERRAMIENTAS
5188;H1501D;HORMIGONERA--  150 LT. 1 HP.                 /DUROLL /;DUROLL;12034;HORMIGONERA DUROLL;170;CARRETILLAS Y HORMIGONERAS;HORMIGONERA;HORMIGONERAS;HERRAMIENTAS
8456;PP;PIEDRA  PARTIDA;;12038;PIEDRA PARTIDA;18;CORRALON;PIEDRA;PIEDRAS;ÁRIDOS
